"date","on","1w","2w","1m","3m","6m","9m","1y"
"20170316","2.441","2.6938","3.2137","4.2218","4.3267","4.2581","4.1094","4.1052"
"20170315","2.3869","2.656","3.1825","4.1537","4.2933","4.2205","4.0837","4.0818"
"20170314","2.3761","2.652","3.168","4.1343","4.2925","4.2146","4.0764","4.0678"
"20170313","2.379","2.649","3.163","4.1226","4.2925","4.2054","4.0648","4.0614"
"20170310","2.4019","2.655","3.161","4.1153","4.2942","4.2031","4.0604","4.0551"
"20170309","2.4076","2.659","3.159","4.1126","4.2943","4.201","4.0567","4.0539"
"20170308","2.4061","2.655","3.156","4.1052","4.2932","4.201","4.0527","4.0536"
"20170307","2.4041","2.644","3.14","4.1016","4.2918","4.201","4.0516","4.0527"
"20170306","2.4033","2.646","3.137","4.0951","4.2925","4.201","4.051","4.0511"
"20170303","2.369","2.659","3.138","4.0851","4.2905","4.2002","4.0499","4.051"
"20170302","2.4611","2.732","3.167","4.083","4.2904","4.2","4.0487","4.0492"
"20170301","2.4943","2.729","3.163","4.0763","4.2881","4.1998","4.0454","4.0497"
"20170228","2.493","2.728","3.158","4.08","4.2841","4.196","4.0437","4.0467"
"20170227","2.4338","2.711","3.15","4.082","4.2804","4.1922","4.0353","4.0407"
"20170224","2.4756","2.725","3.15","4.091","4.2829","4.19","4.0334","4.0362"
"20170223","2.5271","2.716","3.146","4.093","4.284","4.1881","4.0245","4.0305"
"20170222","2.4845","2.706","3.142","4.085","4.2778","4.1824","4.0155","4.0225"
"20170221","2.483","2.691","3.1388","4.082","4.2704","4.1755","4.0091","4.0102"
"20170220","2.4086","2.675","3.1295","4.075","4.2622","4.1665","4.0057","4.0064"
"20170217","2.36","2.664","3.1132","4.0652","4.2567","4.1567","4.0007","4.0005"
"20170216","2.333","2.6435","3.1098","4.0516","4.2518","4.1463","3.9924","3.9906"
"20170215","2.2658","2.627","3.1033","4.0312","4.2394","4.1381","3.9835","3.9846"
"20170214","2.261","2.6208","3.0988","4.016","4.2148","4.1012","3.9668","3.968"
"20170213","2.264","2.623","3.097","4.0052","4.2029","4.07","3.9503","3.953"
"20170210","2.2678","2.6233","3.0911","3.9938","4.1727","4.0217","3.9288","3.9352"
"20170209","2.272","2.634","3.0919","3.9839","4.144","4.0045","3.9084","3.9168"
"20170208","2.2765","2.633","3.0856","3.9601","4.1094","3.9722","3.8882","3.9019"
"20170207","2.281","2.6283","3.067","3.9304","4.016","3.9429","3.8751","3.882"
"20170206","2.278","2.628","3.0562","3.9031","3.9497","3.9195","3.847","3.8542"
"20170204","2.2571","2.648","3.0434","3.8907","3.9348","3.9039","3.8092","3.8214"
"20170203","2.218","2.652","3.0675","3.8761","3.9175","3.878","3.7705","3.786"
"20170126","2.5293","2.691","3.1763","3.851","3.8706","3.8377","3.7233","3.7396"
"20170125","2.165","2.684","3.0672","3.8295","3.8551","3.8146","3.7005","3.7136"
"20170124","2.164","2.662","3.0385","3.8142","3.8401","3.7802","3.6787","3.6905"
"20170123","2.175","2.637","3.0215","3.8118","3.8401","3.774","3.6666","3.6847"
"20170122","2.189","2.607","3.0131","3.808","3.8301","3.7628","3.6557","3.677"
"20170120","2.376","2.593","3.0077","3.8196","3.8213","3.7427","3.647","3.6691"
"20170119","2.364","2.538","2.9544","3.7951","3.803","3.7369","3.6398","3.6602"
"20170118","2.328","2.5042","2.855","3.7502","3.7491","3.6982","3.6272","3.6513"
"20170117","2.2563","2.4666","2.8076","3.7116","3.7222","3.6812","3.6117","3.6321"
"20170116","2.142","2.4239","2.7815","3.6852","3.7018","3.6617","3.5968","3.6102"
"20170113","2.104","2.398","2.7626","3.6718","3.6874","3.6461","3.5872","3.6014"
"20170112","2.103","2.394","2.743","3.6387","3.6536","3.6201","3.572","3.5838"
"20170111","2.104","2.39","2.753","3.5662","3.5853","3.5809","3.5495","3.5674"
"20170110","2.096","2.399","2.762","3.5314","3.5526","3.5481","3.5247","3.5533"
"20170109","2.094","2.41","2.765","3.4738","3.5152","3.5093","3.4962","3.5329"
"20170106","2.112","2.441","2.782","3.4101","3.4388","3.438","3.4413","3.4882"
"20170105","2.13","2.474","2.792","3.3578","3.3384","3.345","3.367","3.4311"
"20170104","2.172","2.545","2.805","3.3223","3.2912","3.3094","3.3391","3.3904"
"20170103","2.209","2.589","2.817","3.3126","3.2813","3.3037","3.331","3.3833"
